CountryTerritoryArea,BCIs per million population,Absolute BCIs,BCIs with AST per million population,Absolute BCIs with AST,% BCIs with AST,Year,Infectious Syndrome,Bacterial Pathogen,Antibiotic Group,code,region,income,che_gdp,gghed_gdp,gghed_gge
Argentina,94.8,4263,82.5,3710,87.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,ARG,AMR,Upper-middle,10.04194355,6.082253929999999,16.132158280000006
Bahrain,724.3,1076,667.7,992,92.2,2019,Urinary tract,Klebsiella pneumoniae,3GCs,BHR,EMR,High,3.9598033399999997,2.30751538,7.06051159
Bangladesh,0.6,94,0.6,92,97.9,2019,Urinary tract,Klebsiella pneumoniae,3GCs,BGD,SEAR,Lower-middle,2.2576224799999998,0.4467977899999999,3.29686975
Brazil,4.1,860,3.9,800,93.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,BRA,AMR,Upper-middle,9.61449146,3.917018889999999,9.235238079999998
Egypt,0.4,46,0.3,34,73.9,2019,Urinary tract,Klebsiella pneumoniae,3GCs,EGY,EMR,Lower-middle,4.5994668,1.29722774,4.822846889999999
Ethiopia,1.0,117,0.8,94,80.3,2019,Urinary tract,Klebsiella pneumoniae,3GCs,ETH,AFR,Low,3.2338237800000003,0.73088509,4.76060486
Finland,2894.5,15983,996.1,5500,34.4,2019,Urinary tract,Klebsiella pneumoniae,3GCs,FIN,EUR,High,9.17,7.35,13.79
Germany,707.7,59131,644.7,53871,91.1,2019,Urinary tract,Klebsiella pneumoniae,3GCs,DEU,EUR,High,11.71550655,9.04012394,20.093276980000002
Greece,547.5,5868,525.3,5630,95.9,2019,Urinary tract,Klebsiella pneumoniae,3GCs,GRC,EUR,High,8.198112490000002,3.99746466,8.30376339
India,7.1,9918,5.7,7850,79.1,2019,Urinary tract,Klebsiella pneumoniae,3GCs,IND,SEAR,Lower-middle,2.95,1.04,3.85
Indonesia,3.5,962,3.4,917,95.3,2019,Urinary tract,Klebsiella pneumoniae,3GCs,IDN,SEAR,Lower-middle,2.8786289700000003,1.39791656,8.557231900000001
Iran (Islamic Republic of),19.1,1665,16.6,1444,86.7,2019,Urinary tract,Klebsiella pneumoniae,3GCs,IRN,EMR,Lower-middle,6.273988720000001,2.7899677800000005,19.73072052
Iraq,2.4,97,1.5,60,61.9,2019,Urinary tract,Klebsiella pneumoniae,3GCs,IRQ,EMR,Upper-middle,4.255094049999999,2.10075927,5.994596
Japan,616.2,78067,597.4,75687,97.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,JPN,WPR,High,10.97,9.21,24.7
Jordan,80.1,855,76.1,812,95.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,JOR,EMR,Upper-middle,6.995182509999998,3.00427818,10.1121769
Lao People's Democratic Republic,2.6,19,1.2,9,47.4,2019,Urinary tract,Klebsiella pneumoniae,3GCs,LAO,WPR,Lower-middle,2.6031222300000003,0.9614232800000002,5.12380648
Latvia,132.7,254,132.7,254,100.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,LVA,EUR,High,6.61,3.96,10.35
Lebanon,44.0,255,44.0,255,100.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,LBN,EMR,Lower-middle,8.6936779,4.285372259999999,13.746777530000003
Libya,9.6,67,9.5,66,98.5,2019,Urinary tract,Klebsiella pneumoniae,3GCs,LBY,EMR,Upper-middle,,,
Lithuania,60.8,170,25.4,71,41.8,2019,Urinary tract,Klebsiella pneumoniae,3GCs,LTU,EUR,High,6.99,4.55,13.1
Madagascar,15.1,427,15.1,427,100.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,MDG,AFR,Low,3.1012930900000004,0.6826895500000001,4.44415092
Malawi,25.3,482,25.3,482,100.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,MWI,AFR,Low,7.15010023,1.67412877,8.66773891
Malaysia,162.4,5432,152.6,5104,94.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,MYS,WPR,Upper-middle,3.83991051,2.00959897,8.523682590000002
Mali,0.2,5,0.2,5,100.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,MLI,AFR,Low,3.82943797,1.1192745,4.835014339999999
Malta,1888.8,952,1859.1,937,98.4,2019,Urinary tract,Klebsiella pneumoniae,3GCs,MLT,EUR,High,9.15,5.72,15.91
Myanmar,6.7,352,5.5,288,81.8,2019,Urinary tract,Klebsiella pneumoniae,3GCs,MMR,SEAR,Lower-middle,4.71,0.66,3.28
Nepal,44.3,1260,33.4,949,75.3,2019,Urinary tract,Klebsiella pneumoniae,3GCs,NPL,SEAR,Lower-middle,4.45,1.1,4.03
Norway,128.3,686,128.3,686,100.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,NOR,EUR,High,10.44,8.95,17.52
Oman,392.9,1804,342.8,1574,87.3,2019,Urinary tract,Klebsiella pneumoniae,3GCs,OMN,EMR,High,3.80648994,3.3325254899999996,8.593752859999999
Pakistan,10.2,2352,9.0,2083,88.6,2019,Urinary tract,Klebsiella pneumoniae,3GCs,PAK,EMR,Lower-middle,2.8473694299999996,0.9430124800000002,4.94922209
Philippines,23.6,2614,22.5,2488,95.2,2019,Urinary tract,Klebsiella pneumoniae,3GCs,PHL,WPR,Lower-middle,4.17,1.69,7.8
Republic of Korea,25.0,1295,25.0,1295,100.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,KOR,WPR,High,8.17479515,4.73187208,13.970218659999997
Saudi Arabia,55.4,1687,50.9,1550,91.9,2019,Urinary tract,Klebsiella pneumoniae,3GCs,SAU,EMR,High,5.467426779999999,4.03419256,11.97922897
Singapore,212.4,1204,211.5,1199,99.6,2019,Urinary tract,Klebsiella pneumoniae,3GCs,SGP,WPR,High,4.39938164,2.2749128300000003,16.248302459999998
Sri Lanka,32.3,724,20.4,457,63.1,2019,Urinary tract,Klebsiella pneumoniae,3GCs,LKA,SEAR,Lower-middle,3.9,1.85,9.49
Sudan,0.4,18,0.4,17,94.4,2019,Urinary tract,Klebsiella pneumoniae,3GCs,SDN,EMR,Low,4.574226380000001,1.03844607,5.56284285
Sweden,2112.5,21715,501.3,5153,23.7,2019,Urinary tract,Klebsiella pneumoniae,3GCs,SWE,EUR,High,10.83,9.22,18.77
Switzerland,2192.7,18808,1966.9,16871,89.7,2019,Urinary tract,Klebsiella pneumoniae,3GCs,CHE,EUR,High,11.063636779999998,3.72409916,11.19768238
Syrian Arab Republic,0.2,4,0.1,3,75.0,2019,Urinary tract,Klebsiella pneumoniae,3GCs,SYR,EMR,Low,,,
Thailand,29.4,2104,25.8,1845,87.7,2019,Urinary tract,Klebsiella pneumoniae,3GCs,THA,SEAR,Upper-middle,3.7891187700000004,2.71524906,12.507557870000001
Tunisia,80.8,959,65.9,783,81.6,2019,Urinary tract,Klebsiella pneumoniae,3GCs,TUN,EMR,Lower-middle,6.0246124299999995,3.5671336699999996,12.078944209999998
Uganda,0.8,35,0.8,34,97.1,2019,Urinary tract,Klebsiella pneumoniae,3GCs,UGA,AFR,Low,3.79834843,0.5741867399999999,3.1388299500000008
United Arab Emirates,665.2,6238,624.5,5856,93.9,2019,Urinary tract,Klebsiella pneumoniae,3GCs,ARE,EMR,High,4.386189459999999,2.2531426000000003,7.9199399900000005
United Kingdom of Great Britain and Northern Ireland,860.8,57770,503.9,33819,58.5,2019,Urinary tract,Klebsiella pneumoniae,3GCs,GBR,EUR,High,9.95761967,7.9679575,19.52971458
Zambia,8.3,153,0.8,14,9.2,2019,Urinary tract,Klebsiella pneumoniae,3GCs,ZMB,AFR,Low,6.753324990000001,2.25831556,7.573063850000001
"occupied Palestinian territory, including east Jerusalem",191.6,950,180.7,896,94.3,2019,Urinary tract,Klebsiella pneumoniae,3GCs,,,,,,
Argentina,54.3,2454,39.6,1790,72.9,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,ARG,AMR,Upper-middle,10.34701538,6.620487210000002,15.740811349999998
Australia,105.6,2719,105.6,2719,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,AUS,WPR,High,10.683736800000002,7.871866229999999,17.056285859999996
Austria,220.6,1968,220.6,1968,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,AUT,EUR,High,11.39,8.74,15.39
Bahrain,106.5,158,105.9,157,99.4,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,BHR,EMR,High,4.716848369999999,2.9697620899999997,8.674077030000001
Bangladesh,0.0,3,0.0,1,33.3,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,BGD,SEAR,Lower-middle,2.2706394199999997,0.40977541000000006,3.07911539
Belgium,114.9,1326,114.9,1326,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,BEL,EUR,High,11.197512629999997,8.723320959999999,14.805824280000001
Bhutan,77.9,60,77.9,60,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,BTN,SEAR,Lower-middle,4.3627486200000005,3.40328145,10.29558849
Bosnia and Herzegovina,60.0,198,60.0,198,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,BIH,EUR,Upper-middle,9.7,6.75,14.88
Brunei Darussalam,806.9,361,806.9,361,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,BRN,WPR,High,2.3933446399999996,2.2518715899999995,6.77688932
Burkina Faso,2.1,46,1.5,32,69.6,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,BFA,AFR,Low,6.50193262,2.8256712,11.646951680000003
Cambodia,2.8,47,2.8,47,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,KHM,WPR,Lower-middle,7.1115655900000005,1.9103192100000004,6.9909763300000005
Croatia,107.2,424,107.2,424,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,HRV,EUR,High,7.72,6.32,11.67
Cyprus,162.8,212,162.8,212,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,CYP,EUR,High,8.41,6.31,14.16
Czechia,198.0,2089,198.0,2089,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,CZE,EUR,High,9.2136879,8.05650425,17.062076570000002
C<U+00F4>te d<U+2019>Ivoire,5.4,155,4.7,137,88.4,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,,,,,,
Denmark,547.5,3193,547.5,3193,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,DNK,EUR,High,10.56,8.95,16.72
Djibouti,13.6,15,13.6,15,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,DJI,EMR,Lower-middle,2.1504831299999996,1.0768225200000001,4.284003729999999
Egypt,2.0,215,0.2,25,11.6,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,EGY,EMR,Lower-middle,4.15384626,1.3261709200000003,5.1611223200000005
Ethiopia,0.6,75,0.2,28,37.3,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,ETH,AFR,Low,3.4809627499999998,0.98278511,6.79223251
Finland,258.2,1428,258.2,1428,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,FIN,EUR,High,9.63,7.83,13.7
France,137.2,9343,137.2,9343,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,FRA,EUR,High,12.130961419999998,9.31343365,15.14472675
Georgia,51.6,196,51.4,195,99.5,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,GEO,EUR,Upper-middle,8.43,3.7,10.73
Germany,156.6,13095,156.6,13095,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,DEU,EUR,High,12.69255257,9.963939669999998,19.766517639999996
Greece,38.6,413,38.6,413,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,GRC,EUR,High,9.50363827,5.1293206200000006,8.541255950000002
India,2.5,3505,1.5,2156,61.5,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,IND,SEAR,Lower-middle,3.34,1.21,3.69
Indonesia,1.4,374,1.1,292,78.1,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,IDN,SEAR,Lower-middle,3.42067289,1.8872557899999998,10.16993046
Iran (Islamic Republic of),4.9,427,4.3,379,88.8,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,IRN,EMR,Lower-middle,5.40149546,2.7775445000000003,21.356725689999998
Iraq,3.2,133,0.5,22,16.5,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,IRQ,EMR,Upper-middle,6.17485046,2.78080106,6.1545309999999995
